AO,MQ-4,Nano,Diff,|Diff|
AO,MQ-4,Nano,Diff,|Diff|
AO,MQ-4,Nano,Diff,|Diff|
AO,MQ-4,Nano,Diff,|Diff|
AO,MQ-4,Nano,Diff,|Diff|
0.067643,-553,-100,-453,453
0.067155,-559,-100,-459,459
0.067155,-559,-100,-459,459
0.067155,-559,-100,-459,459
0.067399,-556,-100,-456,456
0.067643,-553,-100,-453,453
0.067399,-556,-100,-456,456
0.067643,-553,-100,-453,453
0.067643,-553,-100,-453,453
0.067643,-553,-100,-453,453
0.068132,-547,-100,-447,447
0.06862,-541,-100,-441,441
0.069109,-535,-100,-435,435
0.068376,-544,-100,-444,444
0.069597,-529,-100,-429,429
0.069109,-535,-100,-435,435
0.069597,-529,-100,-429,429
0.06862,-541,-100,-441,441
0.069109,-535,-100,-435,435
0.068132,-547,-100,-447,447
0.06862,-541,-100,-441,441
0.069353,-532,-100,-432,432
0.069109,-535,-100,-435,435
0.067643,-553,-100,-453,453
0.069353,-532,-100,-432,432
0.068376,-544,-100,-444,444
0.06862,-541,-100,-441,441
0.069353,-532,-100,-432,432
0.068376,-544,-100,-444,444
0.068864,-538,-100,-438,438
0.068864,-538,-100,-438,438
0.069353,-532,-100,-432,432
0.068376,-544,-100,-444,444
0.06862,-541,-100,-441,441
0.067399,-556,-100,-456,456
0.068132,-547,-100,-447,447
0.068132,-547,-100,-447,447
0.067643,-553,-100,-453,453
0.068132,-547,-100,-447,447
0.067888,-550,-100,-450,450
0.06862,-541,-100,-441,441
0.068132,-547,-100,-447,447
0.068132,-547,-100,-447,447
0.067888,-550,-100,-450,450
0.067155,-559,-100,-459,459
0.068132,-547,-100,-447,447
0.067643,-553,-100,-453,453
0.06862,-541,-100,-441,441
0.066911,-562,-100,-462,462
0.067888,-550,-100,-450,450
0.067888,-550,-100,-450,450
0.067643,-553,-100,-453,453
0.067155,-559,-100,-459,459
0.068132,-547,-100,-447,447
0.067643,-553,-100,-453,453
0.067888,-550,-100,-450,450
0.066911,-562,-100,-462,462
0.067643,-553,-100,-453,453
0.066911,-562,-100,-462,462
0.067888,-550,-100,-450,450
0.066911,-562,-100,-462,462
0.066422,-568,-100,-468,468
0.068376,-544,-100,-444,444
0.067399,-556,-100,-456,456
0.068132,-547,-100,-447,447
0.067399,-556,-100,-456,456
0.066667,-565,-100,-465,465
0.067888,-550,-100,-450,450
0.066422,-568,-100,-468,468
0.066667,-565,-100,-465,465
0.067155,-559,-100,-459,459
0.066422,-568,-100,-468,468
0.065934,-573,-100,-473,473
0.066422,-568,-100,-468,468
0.066667,-565,-100,-465,465
0.066178,-570,-100,-470,470
0.065934,-573,-100,-473,473
0.067399,-556,-100,-456,456
0.066667,-565,-100,-465,465
0.067155,-559,-100,-459,459
0.066422,-568,-100,-468,468
0.066178,-570,-100,-470,470
0.067155,-559,-100,-459,459
0.066178,-570,-100,-470,470
0.067643,-553,-100,-453,453
0.066667,-565,-100,-465,465
0.066667,-565,-100,-465,465
0.066422,-568,-100,-468,468
0.066911,-562,-100,-462,462
0.066911,-562,-100,-462,462
0.066667,-565,-100,-465,465
0.067643,-553,-100,-453,453
0.066911,-562,-100,-462,462
0.067643,-553,-100,-453,453
0.067155,-559,-100,-459,459
0.066422,-568,-100,-468,468
0.067155,-559,0,-559,559
0.067643,-553,0,-553,553
0.067643,-553,0,-553,553
0.067888,-550,0,-550,550
0.067399,-556,0,-556,556
0.067643,-553,0,-553,553
0.068132,-547,0,-547,547
0.067155,-559,0,-559,559
0.067643,-553,0,-553,553
0.068132,-547,0,-547,547
0.067643,-553,0,-553,553
0.068132,-547,0,-547,547
0.06862,-541,0,-541,541
0.066911,-562,0,-562,562
0.067399,-556,0,-556,556
0.067155,-559,0,-559,559
0.066667,-565,0,-565,565
0.06862,-541,0,-541,541
0.06862,-541,0,-541,541
0.065934,-573,0,-573,573
0.067399,-556,0,-556,556
0.067155,-559,0,-559,559
0.068132,-547,0,-547,547
0.067888,-550,0,-550,550
0.067643,-553,0,-553,553
0.067399,-556,0,-556,556
0.067643,-553,0,-553,553
0.068132,-547,0,-547,547
0.067155,-559,0,-559,559
0.068132,-547,0,-547,547
0.067643,-553,0,-553,553
0.067643,-553,0,-553,553
0.068376,-544,0,-544,544
0.068132,-547,0,-547,547
0.068376,-544,0,-544,544
0.069597,-529,0,-529,529
0.067155,-559,0,-559,559
0.067888,-550,0,-550,550
0.069109,-535,0,-535,535
0.067399,-556,0,-556,556
0.068864,-538,0,-538,538
0.068132,-547,0,-547,547
0.067399,-556,0,-556,556
0.067643,-553,0,-553,553
0.067155,-559,0,-559,559
0.067888,-550,0,-550,550
0.068376,-544,0,-544,544
0.067643,-553,0,-553,553
0.068376,-544,0,-544,544
0.068132,-547,0,-547,547
0.068132,-547,0,-547,547
0.067643,-553,0,-553,553
0.069841,-526,0,-526,526
0.068132,-547,0,-547,547
0.068864,-538,0,-538,538
0.068132,-547,0,-547,547
0.068376,-544,0,-544,544
0.069109,-535,0,-535,535
0.067888,-550,-100,-450,450
0.066911,-562,-100,-462,462
0.065446,-578,-100,-478,478
0.064957,-584,-100,-484,484
0.066178,-570,-100,-470,470
0.06569,-576,-100,-476,476
0.064957,-584,-100,-484,484
0.065934,-573,-100,-473,473
0.066667,-565,-100,-465,465
0.066667,-565,-100,-465,465
0.065934,-573,-100,-473,473
0.066667,-565,-100,-465,465
0.067155,-559,-100,-459,459
0.065934,-573,-100,-473,473
0.066911,-562,-100,-462,462
0.066911,-562,-100,-462,462
0.067643,-553,-100,-453,453
0.067888,-550,-100,-450,450
0.067399,-556,-100,-456,456
0.067888,-550,-100,-450,450
0.067888,-550,-100,-450,450
0.068864,-538,-100,-438,438
0.06862,-541,-100,-441,441
0.068132,-547,-100,-447,447
0.069109,-535,-100,-435,435
0.069109,-535,-100,-435,435
0.068864,-538,-100,-438,438
0.069109,-535,-100,-435,435
0.069597,-529,-100,-429,429
0.06862,-541,-100,-441,441
0.069353,-532,-100,-432,432
0.070574,-517,-100,-417,417
0.069841,-526,-100,-426,426
0.069353,-532,-100,-432,432
0.070818,-513,-100,-413,413
0.069597,-529,-100,-429,429
0.070085,-523,-100,-423,423
0.070085,-523,-100,-423,423
0.069353,-532,-100,-432,432
0.07033,-520,-100,-420,420
0.070574,-517,-100,-417,417
0.07033,-520,-100,-420,420
0.07033,-520,-100,-420,420
0.071062,-510,-100,-410,410
0.071062,-510,-100,-410,410
0.071551,-504,-100,-404,404
0.071062,-510,-100,-410,410
0.072283,-494,-100,-394,394
0.070818,-513,-100,-413,413
0.071795,-500,-100,-400,400
0.070818,-513,-100,-413,413
0.072039,-497,-100,-397,397
0.072527,-490,-100,-390,390
0.072527,-490,-100,-390,390
0.072039,-497,-100,-397,397
0.07326,-480,-100,-380,380
0.072527,-490,-100,-390,390
0.072527,-490,-100,-390,390
0.073504,-476,-100,-376,376
0.072772,-487,-100,-387,387
0.072772,-487,-100,-387,387
0.073016,-483,-100,-383,383
0.07326,-480,-100,-380,380
0.072772,-487,-100,-387,387
0.072283,-494,-100,-394,394
0.072772,-487,-100,-387,387
