AO,MQ-4,Nano,Diff,|Diff|
0.001353,0,0,0,0
0.001158,0,0,0,0
0.001807,0,0,0,0
0.001507,0,0,0,0
0.098774,681,0,681,681
0.226435,15568,0,15568,15568
0.354869,143317,0,143317,143317
0.439064,585493,0,585493,585493
0.458271,820246,0,820246,820246
0.440302,598188,0,598188,598188
0.418406,411235,0,411235,411235
0.399016,297047,0,297047,297047
0.385885,238888,0,238888,238888
0.376193,203563,0,203563,203563
0.367849,177427,0,177427,177427
0.362271,161870,0,161870,161870
0.359092,153625,0,153625,153625
0.355749,145406,0,145406,145406
0.352969,138907,0,138907,138907
0.330554,95988,0,95988,95988
0.001529,0,0,0,0
0.001282,0,0,0,0
0.001096,0,0,0,0
0.001726,0,0,0,0
0.001543,0,0,0,0
0.001182,0,0,0,0
0.001585,0,0,0,0
0.001797,0,0,0,0
0.001233,0,0,0,0
0.001265,0,0,0,0
0.001812,0,0,0,0
0.001394,0,0,0,0
0.001199,0,0,0,0
0.00168,0,0,0,0
0.001709,0,0,0,0
0.001148,0,0,0,0
0.001465,0,0,0,0
0.001827,0,0,0,0
0.001319,0,0,0,0
0.001302,0,0,0,0
0.049448,70,0,70,70
0.119099,1305,0,1305,1305
0.208252,10925,0,10925,10925
0.286843,46067,0,46067,46067
0.325168,87793,0,87793,87793
0.341395,114807,0,114807,114807
0.347822,127627,0,127627,127627
0.349705,131644,0,131644,131644
0.347507,126967,0,126967,126967
0.343995,119832,0,119832,119832
0.34211,116168,0,116168,116168
0.33906,110470,0,110470,110470
0.336867,106544,0,106544,106544
0.334305,102130,0,102130,102130
0.332296,98794,0,98794,98794
0.001634,0,0,0,0
0.001243,0,0,0,0
0.001155,0,0,0,0
0.001741,0,0,0,0
0.001624,0,0,0,0
0.001121,0,0,0,0
0.001409,0,0,0,0
0.001849,0,0,0,0
0.001438,0,0,0,0
0.001199,0,0,0,0
0.001565,0,0,0,0
0.001805,0,0,0,0
0.001355,0,0,0,0
0.001204,0,0,0,0
0.001709,0,0,0,0
0.001758,0,0,0,0
0.001277,0,0,0,0
0.001177,0,0,0,0
0.001729,0,0,0,0
0.001736,0,0,0,0
0.001162,0,0,0,0
0.00128,0,0,0,0
0.001795,0,0,0,0
0.001551,0,0,0,0
0.001096,0,0,0,0
0.001538,0,0,0,0
0.001844,0,0,0,0
0.001392,0,0,0,0
0.001143,0,0,0,0
0.001695,0,0,0,0
0.001788,0,0,0,0
0.001189,0,0,0,0
0.001416,0,0,0,0
0.001839,0,0,0,0
0.001382,0,0,0,0
0.001255,0,0,0,0
0.001878,0,0,0,0
0.001416,0,0,0,0
0.001214,0,0,0,0
0.001824,0,0,0,0
0.001587,0,0,0,0
0.001153,0,0,0,0
0.001548,0,0,0,0
0.001851,0,0,0,0
0.001397,0,0,0,0
0.001145,0,0,0,0
0.001673,0,0,0,0
0.001856,0,0,0,0
0.001289,0,0,0,0
0.001228,0,0,0,0
0.001734,0,0,0,0
0.001646,0,0,0,0
0.001153,0,0,0,0
0.001436,0,0,0,0
0.001871,0,0,0,0
0.001338,0,0,0,0
0.00114,0,0,0,0
0.00181,0,0,0,0
0.001612,0,0,0,0
0.001179,0,0,0,0
0.001529,0,0,0,0
0.001827,0,0,0,0
0.001311,0,0,0,0
0.001158,0,0,0,0
0.001678,0,0,0,0
0.001778,0,0,0,0
0.00138,0,0,0,0
0.001182,0,0,0,0
0.001416,0,0,0,0
0.001851,0,0,0,0
0.001602,0,0,0,0
0.001138,0,0,0,0
0.001455,0,0,0,0
0.001841,0,0,0,0
0.001431,0,0,0,0
0.001121,0,0,0,0
0.001788,0,0,0,0
0.001573,0,0,0,0
0.001177,0,0,0,0
0.0018,0,0,0,0
0.00159,0,0,0,0
0.001116,0,0,0,0
0.001802,0,0,0,0
0.001565,0,0,0,0
0.00117,0,0,0,0
0.001538,0,0,0,0
0.001812,0,0,0,0
0.001311,0,0,0,0
0.057455,113,0,113,113
0.136977,2157,0,2157,2157
0.229612,16535,0,16535,16535
0.296632,54430,0,54430,54430
0.332721,99491,0,99491,99491
0.348476,129008,0,129008,129008
0.350032,132355,0,132355,132355
0.345738,123322,0,123322,123322
0.340459,113049,0,113049,113049
0.337575,107796,0,107796,107796
0.33432,102155,0,102155,102155
0.3318,97987,0,97987,97987
0.329941,95019,0,95019,95019
0.001524,0,0,0,0
0.001455,0,0,0,0
0.001082,0,0,0,0
0.001341,0,0,0,0
0.001849,0,0,0,0
0.00147,0,0,0,0
0.001128,0,0,0,0
0.001507,0,0,0,0
0.001814,0,0,0,0
0.001531,0,0,0,0
