AO,MQ-4,Nano,Diff,|Diff|
0.066386,0,0,0,0
0.130532,2,0,2,2
0.201802,10,0,10,10
0.268244,37,0,37,37
0.321372,92,0,92,92
0.359348,173,0,173,173
0.38188,250,0,250,250
0.393135,302,0,302,302
0.397582,325,0,325,325
0.39812,328,0,328,328
0.397514,325,0,325,325
0.395839,316,0,316,316
0.393167,302,0,302,302
0.391477,294,0,294,294
0.389041,282,0,282,282
0.387883,277,0,277,277
0.386166,269,0,269,269
0.357846,168,0,168,168
0.368999,202,0,202,202
0.372892,216,0,216,216
0.377636,233,0,233,233
0.378471,237,0,237,237
0.378982,239,0,239,239
0.354754,160,0,160,160
0.001333,0,0,0,0
0.001111,0,0,0,0
0.00148,0,0,0,0
0.001387,0,0,0,0
0.001258,0,0,0,0
0.001614,0,0,0,0
0.001438,0,0,0,0
0.00127,0,0,0,0
0.001582,0,0,0,0
0.001341,0,0,0,0
0.001324,0,0,0,0
0.001663,0,0,0,0
0.001348,0,0,0,0
0.001475,0,0,0,0
0.001609,0,0,0,0
0.001255,0,0,0,0
0.001526,0,0,0,0
0.001553,0,0,0,0
0.001299,0,0,0,0
0.001624,0,0,0,0
0.001465,0,0,0,0
0.001324,0,0,0,0
0.001639,0,0,0,0
0.001382,0,0,0,0
0.00137,0,0,0,0
0.001651,0,0,0,0
0.00135,0,0,0,0
0.001411,0,0,0,0
0.00158,0,0,0,0
0.001263,0,0,0,0
0.001568,0,0,0,0
0.001565,0,0,0,0
0.001338,0,0,0,0
0.057155,0,0,0,0
0.119001,1,0,1,1
0.191873,8,0,8,8
0.259524,32,0,32,32
0.313489,81,0,81,81
0.352554,154,0,154,154
0.376764,230,0,230,230
0.389605,285,0,285,285
0.39515,312,0,312,312
0.395204,312,0,312,312
0.392368,298,0,298,298
0.392193,297,0,297,297
0.391455,293,0,293,293
0.38949,284,0,284,284
0.388144,278,0,278,278
0.384239,260,0,260,260
0.383497,257,0,257,257
0.383026,255,0,255,255
0.382122,251,0,251,251
0.380982,247,0,247,247
0.380134,243,0,243,243
0.378884,238,0,238,238
0.377782,234,0,234,234
0.376576,229,0,229,229
0.375116,224,0,224,224
0.375145,224,0,224,224
0.37367,219,0,219,219
0.372994,216,0,216,216
0.372059,213,0,213,213
0.371211,210,0,210,210
0.001089,0,0,0,0
0.001463,0,0,0,0
0.001292,0,0,0,0
0.001277,0,0,0,0
0.001541,0,0,0,0
0.001304,0,0,0,0
0.001463,0,0,0,0
0.001516,0,0,0,0
0.001241,0,0,0,0
0.001607,0,0,0,0
0.001355,0,0,0,0
0.001509,0,0,0,0
0.00156,0,0,0,0
0.001306,0,0,0,0
0.001624,0,0,0,0
0.001365,0,0,0,0
0.001451,0,0,0,0
0.001636,0,0,0,0
0.001321,0,0,0,0
0.00149,0,0,0,0
0.001565,0,0,0,0
0.001243,0,0,0,0
0.001587,0,0,0,0
0.001563,0,0,0,0
0.001294,0,0,0,0
0.001516,0,0,0,0
0.001548,0,0,0,0
0.001316,0,0,0,0
0.00159,0,0,0,0
0.050044,0,0,0,0
0.102606,0,0,0,0
0.16482,4,0,4,4
0.21924,15,0,15,15
0.263163,34,0,34,34
0.293592,57,0,57,57
0.320134,90,0,90,90
0.338815,123,0,123,123
0.353018,155,0,155,155
0.361062,178,0,178,178
0.365944,192,0,192,192
0.368435,201,0,201,201
0.370505,207,0,207,207
0.370928,209,0,209,209
0.371422,211,0,211,211
0.372271,214,0,214,214
0.371676,212,0,212,212
0.371583,211,0,211,211
0.37094,209,0,209,209
0.37019,206,0,206,206
0.369812,205,0,205,205
0.369321,203,0,203,203
0.368501,201,0,201,201
0.368088,199,0,199,199
0.367783,198,0,198,198
0.352784,155,0,155,155
0.001336,0,0,0,0
0.001192,0,0,0,0
0.001365,0,0,0,0
0.00148,0,0,0,0
0.001275,0,0,0,0
0.001609,0,0,0,0
0.001346,0,0,0,0
0.001475,0,0,0,0
0.001468,0,0,0,0
0.001314,0,0,0,0
0.001604,0,0,0,0
0.001241,0,0,0,0
0.001614,0,0,0,0
0.001341,0,0,0,0
0.001407,0,0,0,0
0.00157,0,0,0,0
0.00126,0,0,0,0
0.001543,0,0,0,0
0.001475,0,0,0,0
0.00126,0,0,0,0
0.001621,0,0,0,0
0.001353,0,0,0,0
0.001458,0,0,0,0
0.001604,0,0,0,0
0.001272,0,0,0,0
0.001548,0,0,0,0
0.001455,0,0,0,0
0.001292,0,0,0,0
0.001629,0,0,0,0
0.001414,0,0,0,0
0.001365,0,0,0,0
0.001648,0,0,0,0
0.001294,0,0,0,0
0.001609,0,0,0,0
0.001441,0,0,0,0
0.00128,0,0,0,0
0.001636,0,0,0,0
0.001409,0,0,0,0
0.001248,0,0,0,0
0.001634,0,0,0,0
0.001541,0,0,0,0
0.001233,0,0,0,0
0.001568,0,0,0,0
0.001575,0,0,0,0
0.001294,0,0,0,0
0.0016,0,0,0,0
0.001451,0,0,0,0
0.00127,0,0,0,0
0.001668,0,0,0,0
0.001372,0,0,0,0
0.001385,0,0,0,0
0.001568,0,0,0,0
0.001282,0,0,0,0
0.001516,0,0,0,0
0.00156,0,0,0,0
0.001272,0,0,0,0
0.001639,0,0,0,0
0.001543,0,0,0,0
0.00136,0,0,0,0
0.001592,0,0,0,0
0.001421,0,0,0,0
0.001292,0,0,0,0
0.001587,0,0,0,0
0.00138,0,0,0,0
0.001331,0,0,0,0
0.001565,0,0,0,0
0.001485,0,0,0,0
0.001219,0,0,0,0
0.001516,0,0,0,0
0.001548,0,0,0,0
0.001316,0,0,0,0
0.001578,0,0,0,0
0.001446,0,0,0,0
0.001275,0,0,0,0
0.001678,0,0,0,0
0.001311,0,0,0,0
0.001392,0,0,0,0
0.001597,0,0,0,0
0.00135,0,0,0,0
0.00135,0,0,0,0
0.001634,0,0,0,0
0.001424,0,0,0,0
0.001294,0,0,0,0
0.001639,0,0,0,0
0.001372,0,0,0,0
0.001409,0,0,0,0
0.001614,0,0,0,0
0.001319,0,0,0,0
0.001458,0,0,0,0
0.001592,0,0,0,0
0.001284,0,0,0,0
0.001534,0,0,0,0
0.001558,0,0,0,0
0.001299,0,0,0,0
0.001543,0,0,0,0
0.001551,0,0,0,0
0.001324,0,0,0,0
0.001614,0,0,0,0
0.001534,0,0,0,0
0.001316,0,0,0,0
0.001607,0,0,0,0
0.001397,0,0,0,0
0.001292,0,0,0,0
0.00167,0,0,0,0
0.00137,0,0,0,0
0.001324,0,0,0,0
0.001602,0,0,0,0
0.001453,0,0,0,0
0.00127,0,0,0,0
0.001614,0,0,0,0
0.001548,0,0,0,0
0.001267,0,0,0,0
0.00148,0,0,0,0
0.001656,0,0,0,0
0.001368,0,0,0,0
0.001304,0,0,0,0
0.001612,0,0,0,0
0.001548,0,0,0,0
0.00128,0,0,0,0
0.001446,0,0,0,0
0.00168,0,0,0,0
0.001331,0,0,0,0
0.00137,0,0,0,0
0.00167,0,0,0,0
0.001389,0,0,0,0
0.001314,0,0,0,0
0.001631,0,0,0,0
0.00156,0,0,0,0
0.001302,0,0,0,0
0.00148,0,0,0,0
0.001651,0,0,0,0
0.001358,0,0,0,0
0.001429,0,0,0,0
0.001695,0,0,0,0
0.001311,0,0,0,0
0.001077,0,0,0,0
0.001668,0,0,0,0
0.001497,0,0,0,0
0.001326,0,0,0,0
0.001685,0,0,0,0
0.044706,0,0,0,0
0.097118,0,0,0,0
0.163194,4,0,4,4
0.22538,17,0,17,17
0.277021,43,0,43,43
0.314676,82,0,82,82
0.33989,125,0,125,125
0.356079,164,0,164,164
0.365836,192,0,192,192
0.370864,209,0,209,209
0.373722,219,0,219,219
0.374742,223,0,223,223
0.373976,220,0,220,220
0.373851,219,0,219,219
0.373038,216,0,216,216
0.372508,214,0,214,214
0.372218,213,0,213,213
0.371739,212,0,212,212
0.370803,208,0,208,208
0.36998,206,0,206,206
0.3697,205,0,205,205
0.36882,202,0,202,202
0.368286,200,0,200,200
0.367109,196,0,196,196
0.367131,196,0,196,196
0.3664,194,0,194,194
0.001038,0,0,0,0
0.001201,0,0,0,0
0.00147,0,0,0,0
0.001223,0,0,0,0
0.001409,0,0,0,0
0.001543,0,0,0,0
0.001253,0,0,0,0
0.001634,0,0,0,0
0.001404,0,0,0,0
0.001338,0,0,0,0
0.001624,0,0,0,0
0.001343,0,0,0,0
0.001316,0,0,0,0
0.001551,0,0,0,0
0.001333,0,0,0,0
0.001292,0,0,0,0
0.001604,0,0,0,0
0.001536,0,0,0,0
