AO,MQ-4,Nano,Diff,|Diff|
0.135531,1403,0,1403,1403
0.145788,1822,0,1822,1822
0.210256,7289,5876,1413,1413
0.211722,7495,8211,-716,716
0.213919,7813,9493,-1680,1680
0.215385,8031,9990,-1959,1959
0.214164,7849,10077,-2228,2228
0.213675,7777,10101,-2324,2324
0.212698,7635,10050,-2415,2415
0.211966,7530,9995,-2465,2465
0.210989,7392,9858,-2466,2466
0.210745,7357,9785,-2428,2428
0.210501,7323,9604,-2281,2281
0.209524,7188,9528,-2340,2340
0.208791,7089,9357,-2268,2268
0.208547,7055,9277,-2222,2222
0.207082,6860,9124,-2264,2264
0.207326,6892,8971,-2079,2079
0.206105,6732,8890,-2158,2158
0.205372,6638,8739,-2101,2101
0.205372,6638,8675,-2037,2037
0.204151,6483,8543,-2060,2060
0.203663,6421,8463,-2042,2042
0.203419,6391,8319,-1928,1928
0.202442,6270,8259,-1989,1989
0.202930,6330,8123,-1793,1793
0.201221,6123,8006,-1883,1883
0.200488,6035,7953,-1918,1918
0.200977,6093,7816,-1723,1723
0.199756,5949,7756,-1807,1807
0.199756,5949,7642,-1693,1693
0.199023,5864,7583,-1719,1719
0.197314,5669,7474,-1805,1805
0.197070,5641,7421,-1780,1780
0.196581,5587,7300,-1713,1713
0.196337,5560,7164,-1604,1604
0.195604,5479,7107,-1628,1628
0.195360,5452,6982,-1530,1530
0.194628,5373,6919,-1546,1546
0.193895,5295,6791,-1496,1496
0.193162,5217,6742,-1525,1525
0.192918,5192,6622,-1430,1430
0.192430,5141,6567,-1426,1426
0.191941,5090,6458,-1368,1368
0.190720,4966,6346,-1380,1380
0.190965,4990,6290,-1300,1300
0.190232,4917,6192,-1275,1275
0.189744,4868,6145,-1277,1277
0.189011,4796,6034,-1238,1238
0.188523,4748,5981,-1233,1233
0.188278,4724,5894,-1170,1170
0.187302,4631,5846,-1215,1215
0.187057,4607,5733,-1126,1126
0.187057,4607,5635,-1028,1028
0.186081,4516,5590,-1074,1074
0.185836,4493,5502,-1009,1009
0.184860,4403,5459,-1056,1056
0.184615,4381,5360,-979,979
0.183883,4314,5313,-999,999
0.183150,4249,5222,-973,973
0.182662,4206,5168,-962,962
0.182173,4163,5078,-915,915
0.181441,4099,4975,-876,876
0.181441,4099,4928,-829,829
0.180708,4037,4839,-802,802
0.180464,4016,4792,-776,776
0.179976,3975,4701,-726,726
0.179487,3934,4649,-715,715
0.178999,3893,4565,-672,672
0.178755,3873,4530,-657,657
0.178022,3813,4440,-627,627
