AO,MQ-4,Nano,Diff,|Diff|
0.092552,-2543,0,-2543,2543
0.092796,-2535,0,-2535,2535
0.092552,-2543,0,-2543,2543
0.191453,6405,0,6405,6405
0.258120,10121,0,10121,10121
0.259341,9804,9031,773,773
0.259585,9736,11039,-1303,1303
0.260073,9598,13029,-3431,3431
0.258852,9934,13643,-3709,3709
0.258608,9998,14457,-4459,4459
0.257631,10240,14707,-4467,4467
0.256166,10568,14987,-4419,4419
0.254701,10857,15035,-4178,4178
0.252991,11148,14997,-3849,3849
0.251526,11359,14851,-3492,3492
0.250305,11510,14748,-3238,3238
0.247863,11749,14509,-2760,2760
0.247131,11805,14366,-2561,2561
0.244933,11933,14081,-2148,2148
0.242979,12000,13946,-1946,1946
0.242491,12011,13670,-1659,1659
0.240049,12026,13532,-1506,1506
0.240049,12026,13267,-1241,1241
0.238095,11998,12981,-983,983
0.236386,11947,12846,-899,899
0.236142,11938,12601,-663,663
0.233700,11822,12479,-657,657
0.233700,11822,12229,-407,407
0.231013,11647,12101,-454,454
0.230525,11611,11834,-223,223
0.229304,11513,11684,-171,171
0.226618,11271,11394,-123,123
0.225641,11174,11125,49,49
0.223443,10941,10981,-40,40
0.222955,10887,10678,209,209
0.222222,10803,10545,258,258
0.220269,10572,10283,289,289
0.218559,10360,10161,199,199
0.217582,10234,9933,301,301
0.215629,9977,9826,151,151
0.215873,10009,9593,416,416
0.214164,9778,9392,386,386
0.212454,9540,9289,251,251
0.211233,9367,9079,288,288
0.210256,9227,8981,246,246
0.209768,9157,8814,343,343
0.208547,8979,8725,254,254
0.207082,8763,8555,208,208
0.206838,8727,8475,252,252
0.205861,8582,8324,258,258
0.204396,8363,8176,187,187
0.202930,8143,8099,44,44
0.203175,8180,7946,234,234
0.201465,7922,7866,56,56
0.200488,7774,7721,53,53
0.200000,7700,7641,59,59
0.200488,7774,7487,287,287
0.197558,7329,7399,-70,70
0.196581,7180,7224,-44,44
0.195849,7069,7070,-1,1
0.194872,6921,6982,-61,61
0.193895,6773,6828,-55,55
0.192918,6626,6756,-130,130
0.192674,6589,6628,-39,39
0.191453,6405,6561,-156,156
0.190720,6295,6420,-125,125
0.189499,6113,6345,-232,232
0.188767,6004,6204,-200,200
0.187546,5823,6061,-238,238
0.185836,5571,5987,-416,416
0.185836,5571,5847,-276,276
0.184860,5429,5788,-359,359
0.183394,5216,5643,-427,427
