AO,MQ-4,Nano,Diff,|Diff|
0.001272,-308,0,-308,308
0.001643,-308,0,-308,308
0.056222,-308,0,-308,308
0.111709,-307,0,-307,307
0.178745,-300,0,-300,300
0.237949,-283,0,-283,283
0.286874,-247,0,-247,247
0.323438,-195,0,-195,195
0.350808,-129,0,-129,129
0.368755,-66,0,-66,66
0.379363,-20,0,-20,20
0.38517,9,0,9,9
0.388149,25,0,25,25
0.3901,37,0,37,37
0.389609,34,0,34,34
0.416213,231,0,231,231
0.430218,381,232,149,149
0.43904,499,999,-500,500
0.443792,572,1277,-705,705
0.447624,636,1522,-886,886
0.448452,650,1539,-889,889
0.449454,668,1504,-836,836
0.450083,680,1413,-733,733
0.449952,677,1370,-693,693
0.450936,695,1265,-570,570
0.450242,683,1211,-528,528
0.450994,696,1127,-431,431
0.450144,681,1089,-408,408
0.450015,678,1034,-356,356
0.450184,682,980,-298,298
0.448821,657,964,-307,307
0.448723,655,918,-263,263
0.448391,649,897,-248,248
0.448813,657,858,-201,201
0.44779,639,849,-210,210
0.4481,644,832,-188,188
0.446454,616,817,-201,201
0.445942,607,790,-183,183
0.444979,591,777,-186,186
0.44481,589,761,-172,172
0.444439,582,745,-163,163
0.443697,570,723,-153,153
0.443016,560,699,-139,139
0.441751,540,687,-147,147
0.441956,543,682,-139,139
0.440896,527,672,-145,145
0.441072,530,659,-129,129
0.439279,503,646,-143,143
0.438327,489,638,-149,149
0.438032,485,620,-135,135
0.437336,475,610,-135,135
0.436286,460,581,-121,121
0.435363,448,572,-124,124
0.435282,447,573,-126,126
0.434079,431,567,-136,136
0.43421,432,557,-125,125
0.432625,412,540,-128,128
0.431758,401,0,401,401
0.430835,389,503,-114,114
0.430013,379,497,-118,118
0.429458,372,488,-116,116
0.429399,371,486,-115,115
0.429314,370,477,-107,107
0.428254,358,471,-113,113
0.428366,359,451,-92,92
0.427062,344,446,-102,102
0.427131,345,442,-97,97
0.426142,333,435,-102,102
0.425394,325,427,-102,102
0.424503,315,410,-95,95
0.423524,305,400,-95,95
0.422823,297,405,-108,108
0.422508,294,392,-98,98
0.422593,295,379,-84,84
0.421502,283,376,-93,93
0.421575,284,358,-74,74
0.420298,271,341,-70,70
0.420191,270,344,-74,74
0.419888,267,342,-75,75
0.419153,259,335,-76,76
0.418472,253,320,-67,67
0.418257,251,314,-63,63
0.41843,252,309,-57,57
0.417343,242,301,-59,59
0.417294,241,302,-61,61
0.416374,233,309,-76,76
0.417026,239,281,-42,42
0.416071,230,276,-46,46
0.415312,223,273,-50,50
0.414989,220,260,-40,40
0.414686,217,254,-37,37
0.414423,215,257,-42,42
0.413722,208,248,-40,40
0.413968,210,217,-7,7
0.413255,204,220,-16,16
0.414027,211,227,-16,16
0.413362,205,226,-21,21
0.412994,202,219,-17,17
0.412637,199,196,3,3
0.412266,195,185,10,10
0.412015,193,190,3,3
0.411968,193,195,-2,2
0.412227,195,189,6,6
0.411431,188,188,0,0
0.412088,194,189,5,5
0.411297,187,193,-6,6
0.411289,187,184,3,3
0.410728,182,174,8,8
0.410745,182,162,20,20
0.410491,180,159,21,21
0.410444,180,162,18,18
0.410603,181,167,14,14
0.409799,174,154,20,20
0.410124,177,145,32,32
0.409255,170,146,24,24
0.409907,175,136,39,39
0.408996,168,138,30,30
0.40851,164,138,26,26
0.408097,160,122,38,38
0.407865,159,119,40,40
0.407887,159,123,36,36
0.407817,158,112,46,46
0.407909,159,113,46,46
0.406977,151,112,39,39
0.407453,155,95,60,60
0.406935,151,0,151,151
0.406125,145,93,52,52
0.405714,142,92,50,50
0.405583,141,98,43,43
0.405121,137,91,46,46
0.404603,133,87,46,46
0.40455,133,0,133,133
0.404188,130,0,130,130
0.404328,131,0,131,131
0.403632,126,0,126,126
0.403878,128,0,128,128
0.402684,119,0,119,119
