AO,MQ-4,Nano,Diff,|Diff|
0.380042,252,0,252,252
0.37871,265,0,265,265
0.37959,256,0,256,256
0.378652,266,0,266,266
0.378329,269,0,269,269
0.378681,265,0,265,265
0.37832,269,0,269,269
0.378124,271,0,271,271
0.378256,270,0,270,270
0.378327,269,0,269,269
0.377804,275,0,275,275
0.361873,503,0,503,503
0.001595,36216,0,36216,36216
0.064794,25719,0,25719,25719
0.125233,17366,0,17366,17366
0.191245,10123,0,10123,10123
0.251839,5204,0,5204,5204
0.300711,2442,0,2442,2442
0.338254,1052,0,1052,1052
0.363243,479,0,479,479
0.37903,262,0,262,262
0.387048,195,0,195,195
0.390576,174,0,174,174
0.392469,166,0,166,166
0.391504,170,0,170,170
0.391052,172,0,172,172
0.389207,181,0,181,181
0.444908,569,0,569,569
0.483082,1642,0,1642,1642
0.496701,2184,2582,-398,398
0.510364,2811,3754,-943,943
0.517018,3147,4041,-894,894
0.519563,3281,4278,-997,997
0.519946,3302,4291,-989,989
0.520386,3325,4207,-882,882
0.518818,3242,4138,-896,896
0.517653,3180,3972,-792,792
0.515231,3055,3879,-824,824
0.514896,3038,3690,-652,652
0.513292,2957,3494,-537,537
0.512408,2912,3401,-489,489
0.51147,2866,3231,-365,365
0.510369,2812,3155,-343,343
0.509165,2753,2999,-246,246
0.507692,2682,2935,-253,253
0.507225,2660,2801,-141,141
0.50504,2557,2742,-185,185
0.503514,2486,2628,-142,142
0.502405,2435,2529,-94,94
0.500837,2365,2492,-127,127
0.499067,2286,2403,-117,117
0.498069,2243,2352,-109,109
0.496967,2195,2263,-68,68
0.494701,2099,2210,-111,111
0.49442,2087,2132,-45,45
0.491734,1976,2093,-117,117
0.490813,1939,2030,-91,91
0.488916,1864,2001,-137,137
0.486676,1777,1925,-148,148
0.484747,1704,1849,-145,145
0.483841,1670,1819,-149,149
0.482291,1613,1752,-139,139
0.48098,1566,1720,-154,154
0.479402,1510,1650,-140,140
0.477517,1444,1618,-174,174
0.477163,1432,1551,-119,119
0.475562,1378,1521,-143,143
0.474339,1338,1459,-121,121
0.47316,1300,1406,-106,106
0.472051,1264,1391,-127,127
0.471233,1238,1342,-104,104
0.470215,1207,1324,-117,117
0.469194,1175,1276,-101,101
0.467002,1110,1254,-144,144
0.466713,1101,1212,-111,111
0.464208,1029,1181,-152,152
0.463622,1013,1146,-133,133
0.461849,964,1130,-166,166
0.460466,927,1093,-166,166
0.459787,909,1065,-156,156
0.458217,868,1038,-170,170
0.456798,833,995,-162,162
0.455318,796,990,-194,194
0.454884,786,953,-167,167
0.453741,759,934,-175,175
0.453306,748,907,-159,159
0.451734,712,885,-173,173
0.450799,691,849,-158,158
0.449732,668,822,-154,154
0.448703,646,807,-161,161
0.447561,622,783,-161,161
0.446537,601,768,-167,167
0.445749,585,747,-162,162
0.443948,550,750,-200,200
0.444022,552,717,-165,165
0.442342,520,703,-183,183
0.441807,510,676,-166,166
0.440283,483,662,-179,179
0.439712,473,637,-164,164
0.438139,447,622,-175,175
0.436762,425,613,-188,188
0.435553,406,596,-190,190
0.434418,389,583,-194,194
0.433566,376,545,-169,169
0.431893,353,530,-177,177
0.43055,335,517,-182,182
0.428422,308,509,-201,201
0.427206,294,496,-202,202
0.426283,284,462,-178,178
0.425502,275,446,-171,171
0.425157,271,420,-149,149
0.424141,261,415,-154,154
0.423834,258,385,-127,127
0.422432,244,372,-128,128
0.422623,246,366,-120,120
0.421482,235,362,-127,127
0.420589,228,349,-121,121
0.419575,219,352,-133,133
0.418684,212,345,-133,133
0.417492,203,334,-131,131
0.416701,198,323,-125,125
0.415587,190,293,-103,103
0.414862,186,297,-111,111
0.414911,186,281,-95,95
0.413394,178,271,-93,93
0.413047,176,263,-87,87
0.41177,170,260,-90,90
0.410982,166,246,-80,80
0.410403,164,226,-62,62
0.409729,161,210,-49,49
0.40863,158,214,-56,56
0.4079,155,203,-48,48
0.407746,155,197,-42,42
0.406452,152,199,-47,47
0.406947,153,190,-37,37
0.405707,150,177,-27,27
0.405353,150,161,-11,11
0.404362,148,156,-8,8
0.4038,148,152,-4,4
0.403451,147,155,-8,8
0.403116,147,147,0,0
0.40284,147,135,12,12
0.402225,147,131,16,16
0.40211,147,127,20,20
0.400742,147,131,16,16
0.40095,147,132,15,15
0.400198,147,123,24,24
0.399712,147,110,37,37
0.398838,148,106,42,42
0.398533,149,110,39,39
0.397673,150,104,46,46
0.39703,151,102,49,49
0.397145,151,102,49,49
0.396452,153,91,62,62
0.396796,152,83,69,69
0.395426,155,77,78,78
0.395155,156,76,80,80
0.393968,160,79,81,81
0.392884,164,60,104,104
0.39232,166,50,116,116
0.392024,167,0,167,167
0.391956,168,0,168,168
0.39124,171,0,171,171
0.39209,167,0,167,167
0.391409,170,0,170,170
